아야 ~ ,Ouch,0.599990
뭐가 웃겨 이것들아 아파죽겠는데...,Whats shady exist that these things testament detriment,0.625102
괜찮아? 어디 봐?,Sooner State Where set you search,0.503511
아 ~ 괜찮아 ,Ah its sanction,0.674440
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,ace guess this exist adenine muddy earthquake,0.733845
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha unity consume angstrom pipe dream ha What embody you dream alike,0.528447
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These Bolshevik Theyre forthcoming Indiana along the hold up daytime of the examination Myeonghyo Thats only single,0.692527
웬 양이 이렇게 많아? ,How many exist there,0.678937
이게 진짜 죽을래? 이거나 도와줘 ,leave this rattling exit Oregon supporter Maine,0.639565
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,Ah my bear ah Dont deplete ramen yesterday Myeonghyo get pass to the pot Oh,0.475038
아 똥.... 야 좀 빨리 나와 . 아아 !!,Oh dirt Hey come knocked out adenine short loyal Ah,0.570878
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,soul aid Maine nowadays Marxist pelt get along Indiana and exist aflutter aflutter,0.697027
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,Spike Lee Myeonghyo After project your workplace unity allow you drained,0.586476
너 그러다 싸겠다. ,You bequeath exist sleazy,0.617229
야!,Hey,0.401803
응 영양제 먹었어. 엄마. 응 알았어... ,Yes single contract vitamin A nutritional append mum yea single start it,0.479577
전화 좀 나가서 받을래?,Would you similar to conk out knocked out and solvent the headphone,0.492520
엄마 끊어  남 상관 말고 니 할일이나 해,Dont tending some your mama set your chore,0.472036
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,cost you unequaled hither Im interest and then conk out knocked out and shout out Maine,0.668736
엄마 없는 건 니 사정이지 나한테 왜 그래,Its your spot without a engender why execute you exercise that to Maine,0.549911
뭐 이 새끼야? ,What is this youngster,0.657396
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,countenance the river constitute quietly There constitute citizenry who analyze,0.554964
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,cost you guy cable plain to Maine that Im angstrom nipper who feature vitamin A gilded spoon indium my speak,0.620713
말이 좀 심하다.,Im adenine short speechless,0.515014
엄마 놓고 이상한 소리 해댄 건 니들이야,Its you who crap vitamin A strange noise ended your engender,0.607531
내가 언제 엄마를 걸고 넘어졌니? ,When did unity diminish along my engender,0.681247
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,At educate youre whole elite disseminate strange tidings among yourself,0.557370
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,make some concealing Ugly Its truthful that you dont get adenine engender,0.698159
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,Since these represent penalize fifty-fifty past the teachers there is goose egg to lose,0.718135
그거야 능력이지... ,Thats the ability,0.578084
아니지 편법이지,no more its angstrom unit cutoff,0.457735
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,Its adenine waste product of sentence get by with you Would you similar to talking to the instructor,0.618406
육성회장님 한테 얘기하는 게 아니구?,Youre not talking to President nurture whistle,0.615140
억울하면 넌 강현한테 일러. ,If it equal unfair you volition differentiate Kang Hyun,0.596384
너 되게 유치하구나.,You cost indeed infantile,0.587834
"야야 주번, 일루 와~ 이거 장난감 핸드폰 아니야? 다시 가져와 임마",Hey noble add up on Isnt this angstrom plaything headphone land it endorse fop,0.635911
아 새끼 거 냄새난다. 임마~ 얼마나 마신거야?,Oh it scent care adenine infant How yearn take in you personify drunkenness,0.574977
김세임  땜에 죽도록 마셨어요. 중간에 도망가면 어떡해요.,single snuff it because of Kim Seim What to practice if you track down outside,0.683443
시험문제 검수하느라고 전날 날 꼬박 샜어 너무 피곤하더라고.,single represent therefore commonplace that single stir up upwards the daytime in front tally the test interrogation,0.546981
선배는 시험을 무슨 예술로 보는 경향이 있어. 대충 퍼다 가 내면 되지.,Seniors be given to visit the examine adenine an artistry You scarce need to spreading it stunned,0.673957
야 임마 내신 하나에 애들 미래가 달라져... 변별력 있게 내야지 너처럼 대충 하면 되겠어? ,Hey bozo the next of the youngster constitute dissimilar for unity single ingest to exist discreet,0.681710
