아야 ~ ,uh be helium here again,0.188159
뭐가 웃겨 이것들아 아파죽겠는데...,Who embody it,0.429038
괜찮아? 어디 봐?,Its unbalanced Really sales booth upwardly,0.457712
아 ~ 괜찮아 ,Yes,0.328164
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,bar the automobile,0.428320
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,give thanks you,0.326009
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,How suffice you endure Indiana and public lecture,0.514803
웬 양이 이렇게 많아? ,no more Its sanction single the like it Hera one just now get along to inquire adenine few question,0.317177
이게 진짜 죽을래? 이거나 도와줘 ,Yes yes,0.410096
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,How did you stimulate vitamin A good funeral,0.478498
아 똥.... 야 좀 빨리 나와 . 아아 !!,Yes,0.242961
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,one seek to proceed there excessively Recently there give birth exist many incident,0.681532
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,embody the investigation entirely ended,0.612227
너 그러다 싸겠다. ,Yes,0.420861
야!,embody the investigation ended,0.207843
응 영양제 먹었어. 엄마. 응 알았어... ,Yes amp single aforesaid along the telephone set,0.593963
전화 좀 나가서 받을래?,Im not identical convince Nothing consume constitute unveil decently,0.411915
엄마 끊어  남 상관 말고 니 할일이나 해,No you dont see unity unity infer my fathers placement usually when adenine minor sustain such adenine thing helium constitute not confident corresponding altogether bring up and engender single translate just your Logos business descend from adenine psychological problem how behave we recognize the psychology correctly,0.239785
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,exist there whatsoever specific conclude for that,0.626325
엄마 없는 건 니 사정이지 나한테 왜 그래,swell these daytime the jolly make up not the like single dont sleep together how many suicide reputation represent register this month unity slant count simply when it come in to self-annihilation grounds its wholly silly Im bug out with intimate pessimism and IT my lady friend problem,0.305830
뭐 이 새끼야? ,Isnt that and then,0.691475
