아야 ~ ,Ouch,0.571548
뭐가 웃겨 이것들아 아파죽겠는데...,Whats funny is that these things will detriment,0.655442
괜찮아? 어디 봐?,Sooner State Where set you search,0.456889
아 ~ 괜찮아 ,Ah its sanction,0.644212
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I think this is adenine sloppy earthquake,0.648211
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha I had a dream ha What are you dreaming like,0.626120
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These Bolshevik Theyre forthcoming Indiana on the last daytime of the exam Myeonghyo Thats only one,0.596328
웬 양이 이렇게 많아? ,How many exist there,0.640930
이게 진짜 죽을래? 이거나 도와줘 ,Will this really die Oregon supporter me,0.624422
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,Ah my bear ah Dont deplete ramen yesterday Myeonghyo get pass to the pot Oh,0.543087
아 똥.... 야 좀 빨리 나와 . 아아 !!,Oh dirt Hey come knocked out adenine short loyal Ah,0.538611
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,soul help Maine nowadays Marxist pepper comes Indiana and exist nervous hehe,0.678354
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,Spike Lee Myeonghyo After project your work I allow you drained,0.535316
너 그러다 싸겠다. ,You will exist sleazy,0.684522
야!,Hey,0.323217
응 영양제 먹었어. 엄마. 응 알았어... ,Yes single engage vitamin A nutritional append mum yea single start it,0.488142
전화 좀 나가서 받을래?,Would you like to conk out knocked out and solvent the headphone,0.428060
엄마 끊어  남 상관 말고 니 할일이나 해,Dont tending some your mama set your chore,0.602913
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,cost you unequaled here Im worried and then go knocked out and call me,0.662675
엄마 없는 건 니 사정이지 나한테 왜 그래,Its your situation without a mother why do you do that to me,0.613381
뭐 이 새끼야? ,What is this kid,0.688380
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,Let the river constitute quiet There are people who study,0.630696
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you guys plain to Maine that Im angstrom child who has vitamin A gilded spoon in my speak,0.606142
말이 좀 심하다.,Im adenine short speechless,0.469904
엄마 놓고 이상한 소리 해댄 건 니들이야,Its you who draw vitamin A strange noise ended your engender,0.537346
내가 언제 엄마를 걸고 넘어졌니? ,When did unity diminish on my engender,0.691064
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,At educate youre whole elite disseminate strange tidings among yourself,0.527540
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,make some hiding Ugly Its true that you dont have adenine mother,0.626573
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,Since these are punished even by the teachers there is nothing to lose,0.652214
그거야 능력이지... ,Thats the ability,0.644769
아니지 편법이지,no more its a shortcut,0.635378
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,Its adenine waste of time dealing with you Would you like to talk to the instructor,0.607539
육성회장님 한테 얘기하는 게 아니구?,Youre not talking to President nurture whistle,0.620789
억울하면 넌 강현한테 일러. ,If it is unfair you will tell Kang Hyun,0.601444
너 되게 유치하구나.,You equal indeed infantile,0.515925
"야야 주번, 일루 와~ 이거 장난감 핸드폰 아니야? 다시 가져와 임마",Hey Almighty add up on Isnt this angstrom plaything headphone land it endorse fop,0.598031
아 새끼 거 냄새난다. 임마~ 얼마나 마신거야?,Oh it scent care adenine infant How yearn take in you personify drunkenness,0.541205
김세임  땜에 죽도록 마셨어요. 중간에 도망가면 어떡해요.,single snuff it because of Kim Seim What to do if you track down outside,0.617758
